CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
215,male,220.6,202.8714286,45.75555556
216,male,231.4,207.0285714,45.80555556
217,male,242.2,211.1857143,45.85555556
218,male,253,215.3428571,45.90555556
219,male,263.8,219.5,45.95555556
220,male,274.6,223.6571429,46.00555556
221,male,285.4,227.8142857,46.05555556
222,male,296.2,231.9714286,46.10555556
223,male,307,236.1285714,46.15555556
224,male,317.8,240.2857143,46.20555556
225,male,328.6,244.4428571,46.25555556
226,male,339.4,248.6,46.30555556
227,male,350.2,252.7571429,46.35555556
228,male,361,256.9142857,46.40555556
229,male,371.8,261.0714286,46.45555556
230,male,382.6,265.2285714,46.50555556
231,male,393.4,269.3857143,46.55555556
232,male,404.2,273.5428571,46.60555556
233,male,415,277.7,46.65555556
234,male,425.8,100,46.70555556
235,male,436.6,100,46.75555556
236,male,447.4,100,46.80555556
237,male,458.2,100,46.85555556
238,male,469,100,46.90555556
239,male,479.8,100,46.95555556
240,male,490.6,100,47.00555556
241,male,501.4,100,47.05555556
242,male,512.2,100,
243,male,523,100,
244,male,533.8,100,
245,male,544.6,100,
246,male,555.4,100,
247,male,566.2,100,
248,male,577,100,
249,male,587.8,100,
,male,598.6,100,
,male,609.4,100,
,male,620.2,100,
,male,631,100,
,male,641.8,100,
,male,652.6,100,
,,663.4,100,
,,674.2,100,
,,685,100,
,,695.8,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
